Z,symbol,name,group,period,block,first_ionization_energy_ev,pauling_en,electron_affinity_ev,melting_point_k,boiling_point_k
1,H,Hydrogen,1,1,s,13.597969,2.2,0.7542,13.99,20.271
2,He,Helium,18,1,s,24.587242,,-0.497487,0.95,4.222
3,Li,Lithium,1,2,s,5.391512,0.98,0.61805,453.65,1603
4,Be,Beryllium,2,2,s,9.322693,1.57,-0.497487,1560,2742
5,B,Boron,13,2,p,8.297663,2.04,0.279722,2349,4200
6,C,Carbon,14,2,p,11.260818,2.55,1.262127,,
7,N,Nitrogen,15,2,p,14.533865,3.04,-0.070477,63.15,77.355
8,O,Oxygen,16,2,p,13.617661,3.44,1.461118,54.36,90.188
9,F,Fluorine,17,2,p,17.422397,3.98,3.401201,53.48,85.03
10,Ne,Neon,18,2,p,21.56501,,-1.202259,24.56,27.104
11,Na,Sodium,1,3,s,5.138623,0.93,0.54793,370.944,1156.09
12,Mg,Magnesium,2,3,s,7.645748,1.31,-0.414572,923,1363
13,Al,Aluminium,13,3,p,5.985386,1.61,0.432834,933.47,2743
14,Si,Silicon,14,3,p,8.151526,1.9,1.389526,1687,3538
15,P,Phosphorus,15,3,p,10.486604,2.19,0.746613,,
16,S,Sulfur,16,3,p,10.36016,2.58,2.077111,388.36,717.8
17,Cl,Chlorine,17,3,p,12.967819,3.16,3.612738,171.6,239.11
18,Ar,Argon,18,3,p,15.759963,,-0.994973,83.81,87.302
19,K,Potassium,1,4,s,4.340571,0.82,0.501456,336.7,1032
20,Ca,Calcium,2,4,s,6.112867,1,0.024563,1115,1757
21,Sc,Scandium,3,4,d,6.561642,1.36,0.186557,1814,3109
22,Ti,Titanium,4,4,d,6.828004,1.54,0.075545,1941,3560
23,V,Vanadium,5,4,d,6.746126,1.63,0.527657,2183,3680
24,Cr,Chromium,6,4,d,6.766855,1.66,0.675856,2180,2944
25,Mn,Manganese,7,4,d,7.434316,1.55,-0.518215,1519,2334
26,Fe,Iron,8,4,d,7.902783,1.83,0.153236,1811,3134
27,Co,Cobalt,9,4,d,7.881018,1.88,0.662258,1768,3200
28,Ni,Nickel,10,4,d,7.639529,1.91,1.157175,1728,3003
29,Cu,Copper,11,4,d,7.72659,1.9,1.235788,1357.77,2835
30,Zn,Zinc,12,4,d,9.394206,1.65,-0.60113,692.68,1180
31,Ga,Gallium,13,4,p,5.99886,1.81,0.424937,302.9146,2673
32,Ge,Germanium,14,4,p,7.897601,2.01,1.232681,1211.4,3106
33,As,Arsenic,15,4,p,9.814997,2.18,0.804788,,
34,Se,Selenium,16,4,p,9.752811,2.55,2.020611,494,958
35,Br,Bromine,17,4,p,11.814272,2.96,3.363601,265.8,332
36,Kr,Krypton,18,4,p,14.000104,3,-0.994973,115.78,119.93
37,Rb,Rubidium,1,5,s,4.176815,0.82,0.48592,312.45,961
38,Sr,Strontium,2,5,s,5.695186,0.95,0.05206,1050,1650
39,Y,Yttrium,3,5,d,6.218583,1.22,0.306783,1799,3203
40,Zr,Zirconium,4,5,d,6.634192,1.33,0.43329,2128,4650
41,Nb,Niobium,5,5,d,6.758564,1.6,0.917407,2750,5017
42,Mo,Molybdenum,6,5,d,7.092294,2.16,0.747266,2896,4912
43,Tc,Technetium,7,5,d,7.275742,1.9,0.549308,2430,4538
44,Ru,Ruthenium,8,5,d,7.36073,2.2,1.04638,2607,4423
45,Rh,Rhodium,9,5,d,7.459191,2.28,1.142872,2237,3968
46,Pd,Palladium,10,5,d,8.337047,2.2,0.56216,1828.05,3236
47,Ag,Silver,11,5,d,7.576307,1.93,1.304472,1234.93,2435
48,Cd,Cadmium,12,5,d,8.994144,1.69,-0.704773,594.22,1040
49,In,Indium,13,5,p,5.786392,1.78,0.383925,429.7485,2345
50,Sn,Tin,14,5,p,7.344147,1.96,1.112073,505.08,2875
51,Sb,Antimony,15,5,p,8.643831,2.05,1.047406,903.78,1908
52,Te,Tellurium,16,5,p,9.009691,2.1,1.970887,722.66,1261
53,I,Iodine,17,5,p,10.451365,2.66,3.059057,386.85,457.4
54,Xe,Xenon,18,5,p,12.130383,2.6,-0.798052,161.4,165.051
55,Cs,Cesium,1,6,s,3.89387,0.79,0.471628,301.7,944
56,Ba,Barium,2,6,s,5.212209,0.89,0.144624,1000,2118
57,La,Lanthanum,3,6,f,5.577033,1.1,0.549308,1193,3737
58,Ce,Cerium,3,6,f,5.538685,1.12,0.570037,1068,3716
59,Pr,Praseodymium,3,6,f,5.461989,1.13,0.96388,1208,3403
60,Nd,Neodymium,3,6,f,5.525211,1.14,1.916049,1297,3347
61,Pm,Promethium,3,6,f,5.596725,1.13,0.129036,1315,3273
62,Sm,Samarium,3,6,f,5.643364,1.17,0.161994,1345,2173
63,Eu,Europium,3,6,f,5.670311,1.2,0.11608,1099,1802
64,Gd,Gadolinium,3,6,f,6.150179,1.2,0.137016,1585,3273
65,Tb,Terbium,3,6,f,5.864124,1.1,1.164948,1629,3396
66,Dy,Dysprosium,3,6,f,5.938747,1.22,0.351972,1680,2840
67,Ho,Holmium,3,6,f,6.021661,1.23,0.33798,1734,2873
68,Er,Erbium,3,6,f,6.107685,1.24,0.311966,1802,3141
69,Tm,Thulium,3,6,f,6.184381,1.25,1.026066,1818,2223
70,Yb,Ytterbium,3,6,f,6.253822,1.1,-0.020003,1097,1469
71,Lu,Lutetium,3,6,d,5.425714,1.27,0.346168,1925,3675
72,Hf,Hafnium,4,6,d,6.824895,1.3,0.178059,2506,4876
73,Ta,Tantalum,5,6,d,7.887236,1.5,0.321293,3290,5731
74,W,Tungsten,6,6,d,7.980515,2.36,0.816293,3695,6203
75,Re,Rhenium,7,6,d,7.876872,1.9,0.060396,3459,5869
76,Os,Osmium,8,6,d,8.706016,2.2,1.077784,3306,5285
77,Ir,Iridium,9,6,d,9.120589,2.2,1.564388,2719,4403
78,Pt,Platinum,10,6,d,9.016946,2.28,2.125108,2041.4,4098
79,Au,Gold,11,6,d,9.225268,2.54,2.308618,1337.33,3243
80,Hg,Mercury,12,6,d,10.437892,2,-0.497487,234.321,629.88
81,Tl,Thallium,13,6,p,6.108722,1.62,0.377261,577,1746
82,Pb,Lead,14,6,p,7.416697,1.87,0.356744,600.61,2022
83,Bi,Bismuth,15,6,p,7.286107,2.02,0.942364,544.7,1837
84,Po,Polonium,16,6,p,8.416852,2,1.409546,527,1235
85,At,Astatine,17,6,p,9.317542,2.2,2.414883,575,610
86,Rn,Radon,18,6,p,10.747785,2.2,-0.704773,202,211.5
87,Fr,Francium,1,7,s,3.938436,0.79,0.485982,300,950
88,Ra,Radium,2,7,s,5.278541,0.9,0.1,1233,2010
89,Ac,Actinium,3,7,f,5.171788,1.1,0.350003,1500,3500
90,Th,Thorium,3,7,f,6.083847,1.3,1.168264,2023,5061
91,Pa,Protactinium,3,7,f,5.886925,1.5,0.549619,1841,4300
92,U,Uranium,3,7,f,6.193709,1.38,0.527958,1405.3,4404
93,Np,Neptunium,3,7,f,6.265223,1.36,0.475203,912,4447
94,Pu,Plutonium,3,7,f,6.060009,1.28,-0.500907,912.5,3505
95,Am,Americium,3,7,f,5.990568,1.13,0.102918,1449,2880
96,Cm,Curium,3,7,f,6.021661,1.28,0.281598,1613,3383
97,Bk,Berkelium,3,7,f,6.228948,1.3,-1.712598,1259,2900
98,Cf,Californium,3,7,f,6.301498,1.3,-1.008551,1173,1743
99,Es,Einsteinium,3,7,f,6.415505,1.3,-0.296419,1133,1269
100,Fm,Fermium,3,7,f,6.498419,1.3,0.351972,1800,
101,Md,Mendelevium,3,7,f,6.581334,1.3,0.973312,1100,
102,No,Nobelium,3,7,f,6.653884,1.3,-2.31352,1100,
103,Lr,Lawrencium,3,7,d,4.963,1.3,-0.311344,1900,
104,Rf,Rutherfordium,4,7,d,6.011297,,,2400,5800
105,Db,Dubnium,5,7,d,,,,,
106,Sg,Seaborgium,6,7,d,,,,,
107,Bh,Bohrium,7,7,d,,,,,
108,Hs,Hassium,8,7,d,,,,126,
109,Mt,Meitnerium,9,7,d,,,,,
110,Ds,Darmstadtium,10,7,d,,,,,
111,Rg,Roentgenium,11,7,d,,,1.56501,,
112,Cn,Copernicium,12,7,d,,,,,357
113,Nh,Nihonium,13,7,p,,,0.690263,700,1430
114,Fl,Flerovium,14,7,p,,,,340,420
115,Mc,Moscovium,15,7,p,,,0.36586,670,1400
116,Lv,Livermorium,16,7,p,,,0.776286,709,1085
117,Ts,Tennessine,17,7,p,,,1.719438,723,883
118,Og,Oganesson,18,7,p,,,0.056,,350
119,Uue,Ununennium,1,8,s,,,0.661968,,630
